,value,url,qtr,code
0,"<a target=""_self"" style=""float: left;"" href=""https://www.bseindia.com/corporates/ShareholdingPattern.aspx?scripcd=500209&amp;flag_qtr=1&amp;qtrid=86.00&amp;Flag=New"" class=""tablebluelink ng-binding"">June 2015</a>",https://www.bseindia.com/corporates/ShareholdingPattern.aspx?scripcd=500209&flag_qtr=1&qtrid=86.00&Flag=New,86,500209
1,"<a target=""_self"" style=""float: left;"" href=""https://www.bseindia.com/corporates/ShareholdingPattern.aspx?scripcd=500209&amp;flag_qtr=1&amp;qtrid=87.00&amp;Flag=New"" class=""tablebluelink ng-binding"">September 2015</a>",https://www.bseindia.com/corporates/ShareholdingPattern.aspx?scripcd=500209&flag_qtr=1&qtrid=87.00&Flag=New,87,500209
2,"<a target=""_self"" style=""float: left;"" href=""https://www.bseindia.com/corporates/ShareholdingPattern.aspx?scripcd=500209&amp;flag_qtr=1&amp;qtrid=82.00&amp;Flag=New"" class=""tablebluelink ng-binding"">June 2014</a>",https://www.bseindia.com/corporates/ShareholdingPattern.aspx?scripcd=500209&flag_qtr=1&qtrid=82.00&Flag=New,82,500209
3,"<a target=""_self"" style=""float: left;"" href=""https://www.bseindia.com/corporates/ShareholdingPattern.aspx?scripcd=500209&amp;flag_qtr=1&amp;qtrid=83.00&amp;Flag=New"" class=""tablebluelink ng-binding"">September 2014</a>",https://www.bseindia.com/corporates/ShareholdingPattern.aspx?scripcd=500209&flag_qtr=1&qtrid=83.00&Flag=New,83,500209
4,"<a target=""_self"" style=""float: left;"" href=""https://www.bseindia.com/corporates/ShareholdingPattern.aspx?scripcd=500209&amp;flag_qtr=1&amp;qtrid=84.00&amp;Flag=New"" class=""tablebluelink ng-binding"">December 2014</a>",https://www.bseindia.com/corporates/ShareholdingPattern.aspx?scripcd=500209&flag_qtr=1&qtrid=84.00&Flag=New,84,500209
5,"<a target=""_self"" style=""float: left;"" href=""https://www.bseindia.com/corporates/ShareholdingPattern.aspx?scripcd=500209&amp;flag_qtr=1&amp;qtrid=85.00&amp;Flag=New"" class=""tablebluelink ng-binding"">March 2015</a>",https://www.bseindia.com/corporates/ShareholdingPattern.aspx?scripcd=500209&flag_qtr=1&qtrid=85.00&Flag=New,85,500209
6,"<a target=""_self"" style=""float: left;"" href=""https://www.bseindia.com/corporates/ShareholdingPattern.aspx?scripcd=500209&amp;flag_qtr=1&amp;qtrid=78.00&amp;Flag=New"" class=""tablebluelink ng-binding"">June 2013</a>",https://www.bseindia.com/corporates/ShareholdingPattern.aspx?scripcd=500209&flag_qtr=1&qtrid=78.00&Flag=New,78,500209
7,"<a target=""_self"" style=""float: left;"" href=""https://www.bseindia.com/corporates/ShareholdingPattern.aspx?scripcd=500209&amp;flag_qtr=1&amp;qtrid=79.00&amp;Flag=New"" class=""tablebluelink ng-binding"">September 2013</a>",https://www.bseindia.com/corporates/ShareholdingPattern.aspx?scripcd=500209&flag_qtr=1&qtrid=79.00&Flag=New,79,500209
8,"<a target=""_self"" style=""float: left;"" href=""https://www.bseindia.com/corporates/ShareholdingPattern.aspx?scripcd=500209&amp;flag_qtr=1&amp;qtrid=80.00&amp;Flag=New"" class=""tablebluelink ng-binding"">December 2013</a>",https://www.bseindia.com/corporates/ShareholdingPattern.aspx?scripcd=500209&flag_qtr=1&qtrid=80.00&Flag=New,80,500209
9,"<a target=""_self"" style=""float: left;"" href=""https://www.bseindia.com/corporates/ShareholdingPattern.aspx?scripcd=500209&amp;flag_qtr=1&amp;qtrid=81.00&amp;Flag=New"" class=""tablebluelink ng-binding"">March 2014</a>",https://www.bseindia.com/corporates/ShareholdingPattern.aspx?scripcd=500209&flag_qtr=1&qtrid=81.00&Flag=New,81,500209
