symbol,buyOrderPrice1,buyOrderQty1,sellOrderPrice1,sellQty1,lastTradedPrice,underLyingLtp,futuresLtp,spread,spreadPer,openPositions,annualisedYieldPer,volume,turnOver,transactionValue,caExpDate,ca,meta
AMBER,0,0,0,0,0,8143.5,7979.5,164.0,2.01,0,0,0,0,0,02-Aug-2024,ANNUAL GENERAL MEETING 02-Aug-2024,{'isSLBSec': True}
SBICARD,0,0,0,0,0,907.7,891.65,16.05,1.77,0,0,0,0,0,25-Feb-2025,INTERIM DIVIDEND - RS 2.50 PER SHARE 25-Feb-2025,{'isSLBSec': True}
VOLTAS,0,0,0,0,0,1414.3,1390.5,23.8,1.68,0,0,0,0,0,20-Jun-2025,DIVIDEND - RS 7 PER SHARE 20-Jun-2025,{'isSLBSec': True}
ASHOKLEY,0,0,0,0,0,139.74,137.92,1.82,1.3,0,0,0,0,0,16-Jul-2025,BONUS 1:1 16-Jul-2025,{'isSLBSec': True}
RVNL,0,0,0,0,0,332.2,327.9,4.3,1.29,0,0,0,0,0,21-Aug-2025,DIVIDEND - RS 1.72 PER SHARE 21-Aug-2025,{'isSLBSec': True}
KFINTECH,0,0,0,0,0,1111.1,1097.1,14.0,1.26,0,0,0,0,0,22-Aug-2025,DIVIDEND - RS 7.50 PER SHARE 22-Aug-2025,{'isSLBSec': True}
OFSS,0,0,0,0,0,8607.0,8524.5,82.5,0.96,0,0,0,0,0,08-May-2025,INTERIM DIVIDEND - RS 265 PER SHARE 08-May-2025,{'isSLBSec': True}
POWERGRID,0,0,0,0,0,292.0,289.75,2.25,0.77,0,0,0,0,0,19-Aug-2025,DIVIDEND - RS 1.25 PER SHARE 19-Aug-2025,{'isSLBSec': True}
COLPAL,0,0,0,0,0,2258.1,2242.8,15.3,0.68,0,0,0,0,0,28-May-2025,INTERIM DIVIDEND - RS 27 PER SHARE 28-May-2025,{'isSLBSec': True}
CHOLAFIN,0,0,0,0,0,1702.5,1693.0,9.5,0.56,0,0,0,0,0,24-Jul-2025,DIVIDEND - RE 0.70 PER SHARE 24-Jul-2025,{'isSLBSec': True}
NUVAMA,0,0,0,0,0,7261.5,7222.0,39.5,0.54,0,0,0,0,0,03-Jun-2025,INTERIM DIVIDEND - RS 69 PER SHARE 03-Jun-2025,{'isSLBSec': True}
HINDPETRO,0,0,0,0,0,475.0,473.25,1.75,0.37,0,0,0,0,0,14-Aug-2025,DIVIDEND - RS 10.50 PER SHARE 14-Aug-2025,{'isSLBSec': True}
PFC,0,0,0,0,0,405.45,404.0,1.45,0.36,0,0,0,0,0,18-Aug-2025,INTERIM DIVIDEND - RS 3.70 PER SHARE 18-Aug-2025,{'isSLBSec': True}
HINDUNILVR,0,0,0,0,0,2472.1,2463.7,8.4,0.34,0,0,0,0,0,23-Jun-2025,DIVIDEND - RS 24 PER SHARE 23-Jun-2025,{'isSLBSec': True}
BPCL,0,0,0,0,0,357.1,356.0,1.1,0.31,0,0,0,0,0,31-Jul-2025,DIVIDEND - RS 5 PER SHARE 31-Jul-2025,{'isSLBSec': True}
IGL,0,0,0,0,0,210.52,209.89,0.63,0.3,0,0,0,0,0,15-Sep-2025,DIVIDEND - RS 1.50 PER SHARE 15-Sep-2025,{'isSLBSec': True}
NTPC,0,0,0,0,0,346.1,345.05,1.05,0.3,0,0,0,0,0,04-Sep-2025,DIVIDEND - RS 3.35 PER SHARE 04-Sep-2025,{'isSLBSec': True}
DABUR,0,0,0,0,0,504.0,502.7,1.3,0.26,0,0,0,0,0,18-Jul-2025,DIVIDEND - RS 5.25 PER SHARE 18-Jul-2025,{'isSLBSec': True}
INFY,0,0,0,0,0,1496.4,1492.6,3.8,0.25,0,0,0,0,0,27-Oct-2025,INTERIM DIVIDEND - RS 23 PER SHARE 27-Oct-2025,{'isSLBSec': True}
TATAELXSI,0,0,0,0,0,5520.0,5506.0,14.0,0.25,0,0,0,0,0,11-Jun-2025,DIVIDEND - RS 75 PER SHARE 11-Jun-2025,{'isSLBSec': True}
BHARATFORG,0,0,0,0,0,1317.4,1314.8,2.6,0.2,0,0,0,0,0,04-Jul-2025,DIVIDEND - RS 6 PER SHARE 04-Jul-2025,{'isSLBSec': True}
ADANIGREEN,0,0,0,0,0,1100.8,1098.7,2.1,0.19,0,0,0,0,0,14-Jun-2024,ANNUAL GENERAL MEETING 14-Jun-2024,{'isSLBSec': True}
DRREDDY,0,0,0,0,0,1197.0,1195.0,2.0,0.17,0,0,0,0,0,10-Jul-2025,DIVIDEND - RS 8 PER SHARE 10-Jul-2025,{'isSLBSec': True}
SHREECEM,0,0,0,0,0,28885.0,28840.0,45.0,0.16,0,0,0,0,0,21-Jul-2025,DIVIDEND - RS 60 PER SHARE 21-Jul-2025,{'isSLBSec': True}
PAGEIND,0,0,0,0,0,40875.0,40865.0,10.0,0.02,0,0,0,0,0,13-Aug-2025,INTERIM DIVIDEND - RS 150 PER SHARE 13-Aug-2025,{'isSLBSec': True}
GODREJCP,0,0,30,300,0,1105.3,1107.5,-2.2,-0.2,0,2,0,0,0,13-Aug-2025,INTERIM DIVIDEND - RS 5 PER SHARE 13-Aug-2025,{'isSLBSec': True}
